timestamp,movement,mv_confidence,correctness_label,correctness_confidence
2026-06-03T18:36:05.038473,Jep Kanan,0.4096,Benar,0.5079
2026-06-03T18:36:30.794445,Jep Kiri,0.4225,Salah,0.8203
2026-06-03T18:36:31.341679,Jep Kiri,0.4421,Salah,0.8787
2026-06-03T18:36:31.886068,Jep Kiri,0.4318,Salah,0.7095
2026-06-03T18:36:43.381665,Jep Kiri,0.4254,Salah,0.5
2026-06-03T18:36:43.924343,Tangkisan Kiri,0.4382,Benar,0.5525
2026-06-03T18:36:54.855164,Tangkisan Kiri,0.4139,Salah,0.7573
2026-06-03T18:36:55.414463,Tangkisan Kiri,0.522,Salah,0.7573
2026-06-03T18:36:55.973150,Tangkisan Kiri,0.5444,Salah,0.7573
2026-06-03T18:36:56.528453,Tangkisan Kiri,0.4322,Salah,0.7573
2026-06-03T18:37:31.784369,Tangkisan Kiri,0.4586,Salah,0.7572
2026-06-03T18:37:32.333417,Tangkisan Kiri,0.5522,Benar,0.7569
2026-06-03T18:37:32.895180,Tangkisan Kiri,0.4516,Salah,0.7553
2026-06-03T18:37:33.452325,Jep Kiri,0.4645,Benar,0.945
2026-06-03T18:37:37.840472,Tangkisan Kiri,0.6581,Benar,0.5633
2026-06-03T18:37:38.385397,Tangkisan Kiri,0.525,Benar,0.5542
2026-06-03T18:37:38.928205,Jep Kiri,0.4593,Benar,0.8893
2026-06-03T18:37:40.576646,Jep Kiri,0.4817,Salah,0.6871
2026-06-03T18:37:41.684503,Tangkisan Kiri,0.4433,Salah,0.7488
2026-06-03T18:37:45.521719,Tangkisan Kiri,0.5316,Salah,0.7573
2026-06-03T18:37:48.798631,Jep Kiri,0.6216,Salah,0.9601
2026-06-03T18:38:40.809924,Tangkisan Kiri,0.4853,Benar,0.815
2026-06-03T18:38:41.401808,Tangkisan Kiri,0.8182,Benar,0.5631
2026-06-03T18:38:41.961162,Tangkisan Kiri,0.7106,Salah,0.7572
2026-06-03T18:38:42.536941,Tangkisan Kiri,0.505,Benar,0.7977
2026-06-03T18:38:52.430277,Tangkisan Kiri,0.6957,Benar,0.5648
2026-06-03T18:38:57.070476,Tangkisan Kiri,0.5068,Benar,0.5641
2026-06-03T18:38:57.652172,Tangkisan Kiri,0.799,Benar,0.5633
2026-06-03T18:38:58.800187,Tangkisan Kiri,0.6027,Benar,0.9466
2026-06-03T18:38:59.392515,Tangkisan Kiri,0.6027,Benar,0.9466
2026-06-03T18:38:59.981425,Tangkisan Kiri,0.6027,Benar,0.9466
2026-06-03T18:39:00.572201,Tangkisan Kiri,0.6027,Benar,0.9466
2026-06-03T18:39:01.144480,Tangkisan Kiri,0.6027,Benar,0.9466
2026-06-03T18:39:01.731595,Tangkisan Kiri,0.6027,Benar,0.9466
2026-06-03T18:39:02.318572,Tangkisan Kiri,0.6026,Benar,0.9311
2026-06-03T18:39:02.911604,Tangkisan Kiri,0.6026,Benar,0.9311
2026-06-03T18:39:03.507364,Tangkisan Kiri,0.5727,Benar,0.9468
2026-06-03T18:39:04.091380,Kombinasi Kiri,0.4133,Benar,0.9856
2026-06-03T18:39:04.668765,Kombinasi Kiri,0.4133,Benar,0.9856
2026-06-03T18:39:16.423924,Tangkisan Kiri,0.4209,Benar,0.5754
2026-06-03T18:39:17.013625,Tangkisan Kiri,0.4209,Benar,0.5754
2026-06-03T18:39:34.054189,Tangkisan Kiri,0.4865,Benar,0.5633
2026-06-03T18:40:19.690613,Tangkisan Kiri,0.4871,Benar,0.5634
2026-06-03T18:40:20.271305,Tangkisan Kiri,0.4871,Benar,0.5634
2026-06-03T18:40:21.471498,Jep Kiri,0.5647,Benar,0.8702
2026-06-03T18:40:36.689914,Tangkisan Kiri,0.8442,Benar,0.8256
2026-06-03T18:40:37.265012,Tangkisan Kiri,0.3673,Benar,0.9468
2026-06-03T18:40:37.844719,Tangkisan Kiri,0.4794,Benar,0.8477
2026-06-03T18:40:38.433749,Tangkisan Kiri,0.468,Salah,0.5195
