timestamp,movement,mv_confidence,correctness_label,correctness_confidence
2026-06-01T17:56:49.509261,Jep Kiri,0.401,Benar,0.9209
2026-06-01T17:56:51.220203,Kombinasi Kanan,0.412,Benar,0.8707
2026-06-01T17:56:51.812002,Jep Kanan,0.4387,Benar,0.5079
2026-06-01T17:56:52.401894,Jep Kanan,0.4247,Benar,0.5079
2026-06-01T17:56:52.995413,Kombinasi Kanan,0.4909,Benar,0.9946
2026-06-01T17:56:53.582547,Kombinasi Kanan,0.5027,Salah,0.9793
2026-06-01T17:56:54.168872,Kombinasi Kanan,0.4351,Benar,0.823
2026-06-01T17:57:16.110075,Jep Kanan,0.4831,Salah,0.7843
2026-06-01T17:57:16.693105,Jep Kanan,0.44,Benar,0.5706
2026-06-01T17:57:27.679951,Kombinasi Kanan,0.4848,Benar,0.9889
2026-06-01T17:57:34.061219,Jep Kanan,0.5555,Benar,0.5561
2026-06-01T17:57:34.659332,Jep Kanan,0.5032,Salah,0.79
2026-06-01T17:57:35.233923,Kombinasi Kanan,0.5356,Salah,0.8408
2026-06-01T17:57:35.823231,Kombinasi Kanan,0.4911,Salah,0.5094
2026-06-01T17:57:46.334826,Kombinasi Kanan,0.4127,Benar,0.6034
2026-06-01T17:57:46.923729,Kombinasi Kanan,0.6097,Benar,0.9125
2026-06-01T17:57:47.508631,Jep Kanan,0.4727,Benar,0.7181
2026-06-01T17:57:49.260806,Jep Kanan,0.6623,Benar,0.7344
2026-06-01T17:57:49.837595,Kombinasi Kanan,0.4797,Salah,0.9777
2026-06-01T17:57:50.431595,Tangkisan Kanan,0.4788,Salah,0.5
2026-06-01T17:57:59.768775,Kombinasi Kanan,0.5412,Benar,0.9273
2026-06-01T17:58:00.341374,Kombinasi Kanan,0.4941,Benar,0.7886
2026-06-01T17:58:06.756875,Jep Kanan,0.4849,Benar,0.9063
2026-06-01T17:58:07.331413,Jep Kanan,0.5152,Benar,0.8051
2026-06-01T17:58:07.906135,Jep Kanan,0.6468,Benar,0.8051
2026-06-01T17:58:08.497823,Jep Kanan,0.555,Benar,0.8051
2026-06-01T17:58:09.069763,Jep Kanan,0.5467,Benar,0.811
2026-06-01T17:58:27.094752,Kombinasi Kanan,0.6747,Benar,0.9654
2026-06-01T17:58:27.670855,Kombinasi Kanan,0.6755,Benar,0.9809
2026-06-01T17:58:28.264241,Jep Kanan,0.444,Salah,0.6067
2026-06-01T17:58:28.846864,Jep Kanan,0.6549,Benar,0.8541
2026-06-01T17:58:29.435247,Jep Kanan,0.539,Benar,0.9422
2026-06-01T17:58:30.025941,Jep Kanan,0.5207,Salah,0.7131
2026-06-01T17:58:31.170983,Jep Kanan,0.4645,Salah,0.7967
2026-06-01T17:58:31.742102,Jep Kanan,0.5245,Benar,0.8051
2026-06-01T17:58:32.312168,Kombinasi Kanan,0.6825,Benar,0.9657
2026-06-01T17:58:32.879040,Kombinasi Kanan,0.6619,Benar,0.9084
2026-06-01T17:58:35.214952,Tangkisan Kiri,0.6301,Benar,0.5519
2026-06-01T17:58:35.802083,Tangkisan Kiri,0.5444,Salah,0.6511
2026-06-01T17:58:36.390830,Kombinasi Kiri,0.4352,Benar,0.6331
2026-06-01T17:58:36.976871,Tangkisan Kiri,0.4517,Benar,0.8178
2026-06-01T17:58:37.546912,Tangkisan Kiri,0.4349,Benar,0.8185
2026-06-01T17:58:42.779810,Kombinasi Kanan,0.5313,Benar,0.9921
2026-06-01T17:58:43.360057,Kombinasi Kanan,0.6795,Benar,0.8349
2026-06-01T17:58:43.935480,Kombinasi Kanan,0.6017,Salah,0.6234
2026-06-01T17:58:44.503828,Kombinasi Kanan,0.4442,Salah,0.8689
2026-06-01T17:58:45.100158,Kombinasi Kanan,0.5516,Salah,0.9182
2026-06-01T17:58:46.838006,Tangkisan Kiri,0.5413,Salah,0.64
2026-06-01T17:58:47.427473,Tangkisan Kiri,0.4592,Salah,0.7571
2026-06-01T17:59:06.454126,Tangkisan Kiri,0.4425,Benar,0.5633
2026-06-01T17:59:07.043960,Tangkisan Kiri,0.4552,Benar,0.5519
2026-06-01T17:59:07.634847,Tangkisan Kiri,0.5468,Salah,0.7573
2026-06-01T17:59:08.215541,Tangkisan Kiri,0.5509,Benar,0.5519
2026-06-01T17:59:19.887901,Jep Kiri,0.4613,Benar,0.5961
2026-06-01T17:59:20.486185,Jep Kiri,0.4155,Salah,0.7637
2026-06-01T17:59:42.543840,Kombinasi Kanan,0.6701,Benar,0.9888
2026-06-01T17:59:43.129710,Kombinasi Kanan,0.7271,Benar,0.9963
2026-06-01T17:59:44.305803,Jep Kanan,0.7129,Benar,0.7329
2026-06-01T17:59:44.885987,Kombinasi Kanan,0.6255,Salah,0.902
2026-06-01T17:59:45.467788,Kombinasi Kanan,0.4564,Salah,0.9611
2026-06-01T17:59:52.419050,Jep Kiri,0.5609,Salah,0.7819
2026-06-01T17:59:54.728539,Jep Kanan,0.5662,Salah,0.6
2026-06-01T17:59:55.319265,Jep Kanan,0.6392,Salah,0.707
2026-06-01T17:59:55.903931,Jep Kanan,0.4528,Salah,0.6067
2026-06-01T18:00:28.899052,Jep Kiri,0.43,Benar,0.9895
2026-06-01T18:00:29.489573,Jep Kiri,0.5371,Benar,0.6187
2026-06-01T18:00:39.346396,Kombinasi Kanan,0.605,Benar,0.9474
2026-06-01T18:00:39.920831,Kombinasi Kanan,0.6643,Salah,0.5711
2026-06-01T18:00:40.491875,Kombinasi Kanan,0.6504,Salah,0.9368
2026-06-01T18:00:41.088568,Tangkisan Kanan,0.4717,Benar,0.5
2026-06-01T18:00:43.383465,Kombinasi Kanan,0.4907,Benar,0.9458
2026-06-01T18:00:43.965891,Kombinasi Kanan,0.6402,Benar,0.9629
2026-06-01T18:00:44.539927,Kombinasi Kanan,0.6601,Salah,0.9117
2026-06-01T18:00:45.136184,Jep Kanan,0.4116,Benar,0.8051
2026-06-01T18:00:51.587324,Kombinasi Kanan,0.7588,Benar,0.8657
2026-06-01T18:00:52.171367,Kombinasi Kanan,0.8107,Benar,0.9397
2026-06-01T18:00:52.736369,Kombinasi Kanan,0.8107,Benar,0.9397
2026-06-01T18:00:53.305604,Kombinasi Kanan,0.8107,Benar,0.9397
2026-06-01T18:00:53.868741,Kombinasi Kanan,0.8107,Benar,0.9397
2026-06-01T18:00:54.437732,Kombinasi Kanan,0.8107,Benar,0.9397
2026-06-01T18:00:55.004824,Kombinasi Kanan,0.8107,Benar,0.9397
2026-06-01T18:00:55.568769,Kombinasi Kanan,0.8107,Benar,0.9397
2026-06-01T18:00:56.128308,Kombinasi Kanan,0.8107,Benar,0.9397
2026-06-01T18:00:56.689236,Kombinasi Kanan,0.8107,Benar,0.9397
