timestamp,movement,mv_confidence,correctness_label,correctness_confidence
2026-06-14T18:43:27.678511,Tangkisan Kiri,0.4442,Benar,0.8222
2026-06-14T18:43:28.245142,Tangkisan Kiri,0.5101,Benar,0.8222
2026-06-14T18:43:42.377941,Jep Kiri,0.5513,Benar,0.6744
2026-06-14T18:43:48.016697,Tangkisan Kiri,0.4867,Benar,0.5633
2026-06-14T18:43:48.583375,Tangkisan Kiri,0.4307,Salah,0.5347
2026-06-14T18:43:49.138078,Tangkisan Kiri,0.4307,Salah,0.5347
2026-06-14T18:44:02.138010,Tangkisan Kiri,0.462,Benar,0.5519
2026-06-14T18:44:08.352209,Jep Kiri,0.6735,Salah,0.9399
2026-06-14T18:44:08.936855,Kombinasi Kiri,0.4456,Benar,0.8586
2026-06-14T18:45:23.174428,Jep Kanan,0.4893,Benar,0.5079
2026-06-14T18:45:30.503701,Jep Kanan,0.5299,Benar,0.6228
2026-06-14T18:45:31.707477,Jep Kanan,0.7226,Benar,0.5149
2026-06-14T18:45:32.301335,Jep Kanan,0.4116,Benar,0.8634
2026-06-14T18:45:32.903133,Jep Kanan,0.8084,Benar,0.8051
2026-06-14T18:45:33.499224,Tangkisan Kanan,0.4062,Benar,0.5
2026-06-14T18:45:35.859986,Jep Kanan,0.4265,Benar,0.5117
2026-06-14T18:45:36.455017,Tangkisan Kanan,0.4776,Benar,0.5
2026-06-14T18:45:37.046890,Kombinasi Kanan,0.547,Salah,0.969
2026-06-14T18:45:39.434384,Jep Kanan,0.4079,Salah,0.9366
2026-06-14T18:45:40.019911,Kombinasi Kanan,0.4734,Benar,1.0
2026-06-14T18:45:40.615711,Kombinasi Kanan,0.4919,Benar,0.9163
2026-06-14T18:45:41.222744,Kombinasi Kanan,0.5026,Benar,0.9917
2026-06-14T18:45:41.824791,Tangkisan Kanan,0.4397,Benar,0.5
2026-06-14T18:45:42.418766,Kombinasi Kanan,0.5206,Salah,0.8744
2026-06-14T18:45:43.025073,Tangkisan Kanan,0.4048,Benar,0.5
2026-06-14T18:45:43.606282,Tangkisan Kiri,0.4121,Benar,0.5633
2026-06-14T18:45:44.210972,Tangkisan Kiri,0.4725,Benar,0.8191
2026-06-14T18:45:44.797565,Tangkisan Kiri,0.5472,Benar,0.5461
2026-06-14T18:45:46.589213,Jep Kanan,0.453,Salah,0.5611
2026-06-14T18:45:48.374862,Kombinasi Kiri,0.4266,Salah,0.9218
2026-06-14T18:45:59.665924,Jep Kanan,0.5811,Benar,0.7473
2026-06-14T18:46:00.263659,Jep Kanan,0.7519,Benar,0.5117
2026-06-14T18:46:00.864433,Jep Kanan,0.7091,Salah,0.79
